employee_id,first_name,last_name,email,hire_date,department,gender,salary,region_id
1,Berrie,Manueau,bmanueau0@dion.ne.jp,20/04/06,Sports,F,154864,4
2,Aeriell,McNee,amcnee1@google.es,26/01/09,Tools,F,56752,3
3,Sydney,Symonds,ssymonds2@hhs.gov,17/05/10,Clothing,F,95313,4
4,Avrom,Rowantree,NULL,02/08/14,Phones & Tablets,M,119674,7
5,Feliks,Morffew,fmorffew4@a8.net,14/01/03,Computers,M,55307,5
6,Bethena,Trow,btrow5@technorati.com,08/06/03,Sports,F,134501,3
7,Ardeen,Curwood,acurwood6@1und1.de,19/02/06,Clothing,F,28995,7
8,Seline,Dubber,sdubber7@t-online.de,28/05/12,Phones & Tablets,F,101066,3
9,Dayle,Trail,dtrail8@tamu.edu,01/03/03,First Aid,F,82753,1
10,Redford,Roberti,NULL,21/07/08,Clothing,M,72225,7
11,Nickey,Pointon,npointona@vistaprint.com,30/12/06,Jewelry,M,126333,7
12,Leonora,Casaroli,lcasarolib@plala.or.jp,22/07/13,Beauty,F,99504,3
13,Anetta,Arnao,NULL,23/05/09,Games,F,38162,1
14,Jodi,Hook,jhookd@booking.com,16/10/03,Tools,F,126588,2
15,Alyson,Franzonello,NULL,01/01/04,Furniture,F,61256,6
16,Merell,Yakovliv,myakovlivf@ucsd.edu,16/08/08,Movies,M,78141,7
17,Annora,Bendelow,abendelowg@google.com.hk,12/06/09,Toys,F,75283,5
18,Ronica,Armfield,NULL,14/09/12,Toys,F,114983,5
19,Bernardine,Hendricks,bhendricksi@privacy.gov.au,04/02/06,Device Repair,F,158268,3
20,Jessey,Colum,jcolumj@pen.io,08/07/13,Computers,M,77173,7
21,Bernardo,Davage,NULL,11/07/13,Clothing,M,124949,6
22,Cayla,Duffer,NULL,01/02/07,Grocery,F,78589,3
23,Vanda,Marwick,vmarwickm@upenn.edu,06/02/14,Automotive,F,103570,4
24,Corabel,Syversen,csyversenn@aboutads.info,03/03/16,Pharmacy,F,91323,3
25,Zane,Breem,zbreemo@abc.net.au,30/07/12,Cosmetics,M,56688,6
26,Frasquito,Cawson,NULL,24/06/06,Movies,M,78881,1
27,Niles,Chawkley,nchawkleyq@flavors.me,22/09/13,Movies,M,156303,3
28,Emanuele,Sandcraft,esandcraftr@toplist.cz,01/01/15,Garden,M,70827,2
29,Cortie,Ambrosini,cambrosinis@microsoft.com,03/05/14,Games,M,133847,4
30,Benn,Dudley,bdudleyt@dailymail.co.uk,24/08/12,Beauty,M,67800,7
31,Cleve,Conti,ccontiu@noaa.gov,27/02/08,Garden,M,91608,5
32,Aldon,Paddison,apaddisonv@lulu.com,30/06/13,First Aid,M,109592,5
33,Ernestine,Sloley,esloleyw@rakuten.co.jp,27/06/11,Device Repair,F,146549,5
34,Lucy,Olifaunt,lolifauntx@dailymotion.com,07/02/05,Sports,F,165660,7
35,Olenolin,Blundan,NULL,29/09/04,Beauty,M,137691,3
36,Anatollo,Doyle,NULL,08/04/16,Computers,M,98207,1
37,Wilfrid,Sainer,wsainer10@gizmodo.com,30/09/15,Movies,M,147235,3
38,Edna,Erwin,NULL,09/04/03,Children Clothing,F,91397,5
39,Mikael,Kybbye,mkybbye12@si.edu,07/12/10,Vitamins,M,52642,1
40,Modestine,Proctor,mproctor13@digg.com,04/05/15,Tools,F,81889,7
41,Jania,Gresly,jgresly14@ted.com,08/09/10,Furniture,F,97812,6
42,Penelopa,Danieli,pdanieli15@microsoft.com,23/06/14,Toys,F,85218,1
43,Maurise,Bengefield,mbengefield16@sohu.com,08/07/05,Pharmacy,F,63332,2
44,Moise,Turpey,mturpey17@mac.com,15/04/08,Device Repair,M,33781,1
45,Giacopo,Mariner,gmariner18@noaa.gov,31/01/05,Grocery,M,130445,7
46,Lanny,Comolli,lcomolli19@posterous.com,19/06/14,Phones & Tablets,F,34250,6
47,Byrann,Jaukovic,bjaukovic1a@networkadvertising.org,13/11/11,Books,M,121054,7
48,Birgitta,Stanbrooke,bstanbrooke1b@netvibes.com,12/09/16,Clothing,F,77259,1
49,Portie,Ilden,pilden1c@usa.gov,20/01/06,Device Repair,M,69190,7
50,Modesty,Blagburn,mblagburn1d@studiopress.com,16/03/08,Beauty,F,130580,1
51,Norine,Steinham,NULL,22/08/08,Sports,F,66488,2
52,Charla,Adamowicz,cadamowicz1f@tiny.cc,16/03/11,Music,F,162206,2
53,Alphonse,Shedd,ashedd1g@illinois.edu,17/08/14,Cosmetics,M,33272,4
54,Verney,McQuirk,vmcquirk1h@ning.com,17/06/12,Clothing,M,97156,2
55,Norina,Yea,nyea1i@cnet.com,14/06/05,Children Clothing,F,45959,1
56,Wilek,Cossor,wcossor1j@merriam-webster.com,17/09/14,Children Clothing,M,91859,4
57,Reuben,Hallard,NULL,14/03/09,First Aid,M,34572,5
58,King,Sangra,NULL,08/01/12,Grocery,M,53499,6
59,Hilario,Reily,hreily1m@google.co.jp,18/03/12,Phones & Tablets,M,83332,5
60,Orland,Backhouse,obackhouse1n@yahoo.co.jp,12/07/07,Beauty,M,162845,6
61,Bobby,Keppie,NULL,22/10/10,Computers,M,123722,3
62,Lek,Camplin,NULL,16/07/07,Children Clothing,M,124190,6
63,Fanya,Naish,fnaish1q@jalbum.net,24/02/14,Tools,F,140681,3
64,Ody,Dunks,odunks1r@theguardian.com,13/10/06,Toys,M,92003,1
